Make,2019
Acura,157385
Alfa,18294
Audi,224111
BMW,324825
Buick,206926
Cadillac,156250
Chevrolet,1942039
Chrysler,126972
Dodge,422888
Fiat,9204
Ford,2284425
Genesis,21237
GMC,564950
Honda,1450985
Hyundai,688771
Infiniti,117708
Jaguar,31005
Jeep,923292
Kia,614613
LandRover,94736
Lexus,298112
Lincoln,112107
Mazda,278550
Mercedes-Benz,352129
Mini,36165
Mitsubishi,121049
Nissan,1227973
Porsche,61568
Ram,703023
Smart,605
Subaru,700117
Tesla,195125
Toyota,2085206
Volkswagen,363322
Volvo,108227
